g id	t id	f1	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f2	f20	f3	f4	f5	f6	f7	f8	f9
g111	t145	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	True	True	True	False	True
g111	t146																				
g111	t147	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	True	True	True	False	True
g111	t148	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	True	True	True	False	True
g111	t149	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	True	True	True	False	True
g112	t150																				
g112	t151	False	False	False	True	False	False	False	False	False	True	False	True	True	False	False	True	True	True	False	False
g112	t152																				
g112	t153	False	False	False	True	False	False	False	False	False	True	False	True	True	False	False	True	True	True	False	False
g112	t154																				
g112	t155																				
g112	t156	False	False	False	True	False	False	False	False	False	True	False	True	True	False	False	True	True	True	False	False
g112	t157	False	False	False	True	False	False	False	False	False	True	False	True	True	False	False	True	True	True	False	False
g112	t158																				
g112	t159	False	False	False	True	False	False	False	False	False	True	False	True	True	False	False	True	True	True	False	False
g112	t160	False	False	False	True	False	False	False	False	False	True	False	True	True	False	False	True	True	True	False	False
g112	t161	False	False	False	True	False	False	False	False	False	True	False	True	True	False	False	True	True	True	False	False
g113	t162																				
g113	t163	True	False	False	True	False	True	True	False	False	False	False	True	False	False	True	True	False	True	False	False
g113	t164																				
g113	t165	True	False	False	True	False	True	True	False	False	False	False	True	False	False	True	True	False	True	False	False
g113	t166																				
g113	t167																				
g113	t168																				
g113	t169	True	False	False	True	False	True	True	False	False	False	False	True	False	False	True	True	False	True	False	False
g113	t170	True	False	False	True	False	True	True	False	False	False	False	True	False	False	True	True	False	True	False	False
g113	t171	True	False	False	True	False	True	True	False	False	False	False	True	False	False	True	True	False	True	False	False
g114	t172	False	False	True	False	True	False	False	True	True	False	True	False	True	False	True	True	False	False	False	True
g114	t173																				
g114	t174																				
g114	t175																				
g114	t176	False	False	True	False	True	False	False	True	True	False	True	False	True	False	True	True	False	False	False	True
g114	t177	False	False	True	False	True	False	False	True	True	False	True	False	True	False	True	True	False	False	False	True
g114	t178	False	False	True	False	True	False	False	True	True	False	True	False	True	False	True	True	False	False	False	True
g114	t179	False	False	True	False	True	False	False	True	True	False	True	False	True	False	True	True	False	False	False	True
g114	t180	False	False	True	False	True	False	False	True	True	False	True	False	True	False	True	True	False	False	False	True
g114	t181																				
g114	t182																				
g114	t183	False	False	True	False	True	False	False	True	True	False	True	False	True	False	True	True	False	False	False	True
g115	t184	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	True	False
g115	t185																				
g115	t186	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	True	False
g115	t187																				
g115	t188	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	True	False
g115	t189																				
g115	t190																				
g115	t191	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	True	False
g115	t192	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	True	False
g115	t193	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	True	False
g115	t194	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	True	False
g115	t195	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	True	False
g115	t196																				
g115	t197																				
g115	t198	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	True	False
g116	t199																				
g116	t200	True	False	True	False	False	True	True	False	False	True	False	False	True	False	False	False	True	False	False	True
g116	t201	True	False	True	False	False	True	True	False	False	True	False	False	True	False	False	False	True	False	False	True
g116	t202																				
g116	t203																				
g116	t204	True	False	True	False	False	True	True	False	False	True	False	False	True	False	False	False	True	False	False	True
g116	t205	True	False	True	False	False	True	True	False	False	True	False	False	True	False	False	False	True	False	False	True
g116	t206	True	False	True	False	False	True	True	False	False	True	False	False	True	False	False	False	True	False	False	True
g117	t207	False	True	True	False	False	False	True	False	True	False	False	False	True	False	True	False	False	False	True	True
g117	t208	False	True	True	False	False	False	True	False	True	False	False	False	True	False	True	False	False	False	True	True
g117	t209																				
g117	t210	False	True	True	False	False	False	True	False	True	False	False	False	True	False	True	False	False	False	True	True
g117	t211																				
g117	t212	False	True	True	False	False	False	True	False	True	False	False	False	True	False	True	False	False	False	True	True
g117	t213																				
g117	t214	False	True	True	False	False	False	True	False	True	False	False	False	True	False	True	False	False	False	True	True
g117	t215	False	True	True	False	False	False	True	False	True	False	False	False	True	False	True	False	False	False	True	True
g117	t216	False	True	True	False	False	False	True	False	True	False	False	False	True	False	True	False	False	False	True	True
g117	t217	False	True	True	False	False	False	True	False	True	False	False	False	True	False	True	False	False	False	True	True
g117	t218	False	True	True	False	False	False	True	False	True	False	False	False	True	False	True	False	False	False	True	True
g117	t219																				
g117	t220	False	True	True	False	False	False	True	False	True	False	False	False	True	False	True	False	False	False	True	True
g118	t221																				
g118	t222																				
g118	t223	True	True	True	False	False	False	False	False	False	True	True	False	False	False	True	False	False	False	True	True
g118	t224	True	True	True	False	False	False	False	False	False	True	True	False	False	False	True	False	False	False	True	True
g118	t225																				
g118	t226	True	True	True	False	False	False	False	False	False	True	True	False	False	False	True	False	False	False	True	True
g118	t227	True	True	True	False	False	False	False	False	False	True	True	False	False	False	True	False	False	False	True	True
g118	t228																				
g119	t229	False	True	True	True	False	False	False	True	True	True	False	True	False	False	True	False	False	False	False	False
g119	t230																				
g119	t231	False	True	True	True	False	False	False	True	True	True	False	True	False	False	True	False	False	False	False	False
g119	t232																				
g119	t233																				
g119	t234	False	True	True	True	False	False	False	True	True	True	False	True	False	False	True	False	False	False	False	False
g119	t235	False	True	True	True	False	False	False	True	True	True	False	True	False	False	True	False	False	False	False	False
g119	t236	False	True	True	True	False	False	False	True	True	True	False	True	False	False	True	False	False	False	False	False
g119	t237	False	True	True	True	False	False	False	True	True	True	False	True	False	False	True	False	False	False	False	False
g119	t238	False	True	True	True	False	False	False	True	True	True	False	True	False	False	True	False	False	False	False	False
g119	t239	False	True	True	True	False	False	False	True	True	True	False	True	False	False	True	False	False	False	False	False
g119	t240																				
g119	t241	False	True	True	True	False	False	False	True	True	True	False	True	False	False	True	False	False	False	False	False
g12	t242																				
g12	t243	True	False	True	False	False	False	False	True	False	False	True	True	False	True	True	True	False	False	False	False
g12	t244	True	False	True	False	False	False	False	True	False	False	True	True	False	True	True	True	False	False	False	False
g12	t245																				
g12	t246																				
g12	t247	True	False	True	False	False	False	False	True	False	False	True	True	False	True	True	True	False	False	False	False
g12	t248	True	False	True	False	False	False	False	True	False	False	True	True	False	True	True	True	False	False	False	False
g120	t249	False	False	False	True	False	False	True	True	False	True	True	False	True	False	False	False	True	True	False	False
g120	t250	False	False	False	True	False	False	True	True	False	True	True	False	True	False	False	False	True	True	False	False
g120	t251	False	False	False	True	False	False	True	True	False	True	True	False	True	False	False	False	True	True	False	False
g120	t252																				
g120	t253	False	False	False	True	False	False	True	True	False	True	True	False	True	False	False	False	True	True	False	False
g120	t254																				
g120	t255	False	False	False	True	False	False	True	True	False	True	True	False	True	False	False	False	True	True	False	False
g120	t256																				
g120	t257	False	False	False	True	False	False	True	True	False	True	True	False	True	False	False	False	True	True	False	False
g120	t258																				
g121	t259	True	True	True	False	False	True	False	False	True	True	False	False	False	False	False	False	True	True	True	False
g121	t260																				
g121	t261	True	True	True	False	False	True	False	False	True	True	False	False	False	False	False	False	True	True	True	False
g121	t262	True	True	True	False	False	True	False	False	True	True	False	False	False	False	False	False	True	True	True	False
g121	t263	True	True	True	False	False	True	False	False	True	True	False	False	False	False	False	False	True	True	True	False
g121	t264	True	True	True	False	False	True	False	False	True	True	False	False	False	False	False	False	True	True	True	False
g121	t265																				
g122	t266																				
g122	t267																				
g122	t268																				
g122	t269	False	True	False	True	False	False	False	False	False	False	False	True	False	False	False	False	True	True	True	True
g122	t270	False	True	False	True	False	False	False	False	False	False	False	True	False	False	False	False	True	True	True	True
g122	t271	False	True	False	True	False	False	False	False	False	False	False	True	False	False	False	False	True	True	True	True
g122	t272	False	True	False	True	False	False	False	False	False	False	False	True	False	False	False	False	True	True	True	True
g122	t273	False	True	False	True	False	False	False	False	False	False	False	True	False	False	False	False	True	True	True	True
g122	t274																				
g122	t275																				
g123	t276	False	False	True	False	True	False	False	True	True	False	True	True	True	False	False	True	False	False	False	True
g123	t277																				
g123	t278																				
g123	t279																				
g123	t280	False	False	True	False	True	False	False	True	True	False	True	True	True	False	False	True	False	False	False	True
g123	t281	False	False	True	False	True	False	False	True	True	False	True	True	True	False	False	True	False	False	False	True
g123	t282	False	False	True	False	True	False	False	True	True	False	True	True	True	False	False	True	False	False	False	True
g123	t283																				
g123	t284	False	False	True	False	True	False	False	True	True	False	True	True	True	False	False	True	False	False	False	True
g123	t285	False	False	True	False	True	False	False	True	True	False	True	True	True	False	False	True	False	False	False	True
g124	t286	False	True	True	False	False	True	False	False	True	True	True	True	False	False	False	True	False	False	False	True
g124	t287	False	True	True	False	False	True	False	False	True	True	True	True	False	False	False	True	False	False	False	True
g124	t288																				
g124	t289	False	True	True	False	False	True	False	False	True	True	True	True	False	False	False	True	False	False	False	True
g124	t290																				
g124	t291	False	True	True	False	False	True	False	False	True	True	True	True	False	False	False	True	False	False	False	True
g124	t292	False	True	True	False	False	True	False	False	True	True	True	True	False	False	False	True	False	False	False	True
g124	t293	False	True	True	False	False	True	False	False	True	True	True	True	False	False	False	True	False	False	False	True
g124	t294																				
g124	t295	False	True	True	False	False	True	False	False	True	True	True	True	False	False	False	True	False	False	False	True
g124	t296	False	True	True	False	False	True	False	False	True	True	True	True	False	False	False	True	False	False	False	True
g125	t297																				
g125	t298	False	False	False	False	False	True	True	False	True	False	False	False	False	True	True	True	False	True	False	True
g125	t299																				
g125	t300	False	False	False	False	False	True	True	False	True	False	False	False	False	True	True	True	False	True	False	True
g125	t301																				
g125	t302																				
g125	t303	False	False	False	False	False	True	True	False	True	False	False	False	False	True	True	True	False	True	False	True
g125	t304	False	False	False	False	False	True	True	False	True	False	False	False	False	True	True	True	False	True	False	True
g125	t305	False	False	False	False	False	True	True	False	True	False	False	False	False	True	True	True	False	True	False	True
g125	t306	False	False	False	False	False	True	True	False	True	False	False	False	False	True	True	True	False	True	False	True
g125	t307	False	False	False	False	False	True	True	False	True	False	False	False	False	True	True	True	False	True	False	True
g125	t308	False	False	False	False	False	True	True	False	True	False	False	False	False	True	True	True	False	True	False	True
g125	t309																				
g126	t310	False	True	False	False	True	False	False	True	True	False	True	False	True	False	False	True	False	False	False	True
g126	t311	False	True	False	False	True	False	False	True	True	False	True	False	True	False	False	True	False	False	False	True
g126	t312	False	True	False	False	True	False	False	True	True	False	True	False	True	False	False	True	False	False	False	True
g126	t313	False	True	False	False	True	False	False	True	True	False	True	False	True	False	False	True	False	False	False	True
g126	t314	False	True	False	False	True	False	False	True	True	False	True	False	True	False	False	True	False	False	False	True
g126	t315																				
g126	t316																				
g126	t317	False	True	False	False	True	False	False	True	True	False	True	False	True	False	False	True	False	False	False	True
g126	t318	False	True	False	False	True	False	False	True	True	False	True	False	True	False	False	True	False	False	False	True
g126	t319																				
g126	t320	False	True	False	False	True	False	False	True	True	False	True	False	True	False	False	True	False	False	False	True
g126	t321	False	True	False	False	True	False	False	True	True	False	True	False	True	False	False	True	False	False	False	True
g126	t322																				
g126	t323	False	True	False	False	True	False	False	True	True	False	True	False	True	False	False	True	False	False	False	True
g126	t324																				
g127	t325	False	False	True	True	False	False	True	False	True	False	False	True	True	False	False	True	True	False	True	False
g127	t326	False	False	True	True	False	False	True	False	True	False	False	True	True	False	False	True	True	False	True	False
g127	t327																				
g127	t328	False	False	True	True	False	False	True	False	True	False	False	True	True	False	False	True	True	False	True	False
g127	t329																				
g127	t330	False	False	True	True	False	False	True	False	True	False	False	True	True	False	False	True	True	False	True	False
g127	t331	False	False	True	True	False	False	True	False	True	False	False	True	True	False	False	True	True	False	True	False
g127	t332																				
g127	t333																				
g127	t334	False	False	True	True	False	False	True	False	True	False	False	True	True	False	False	True	True	False	True	False
g128	t335																				
g128	t336	False	True	True	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	True	True
g128	t337	False	True	True	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	True	True
g129	t338	False	True	True	True	True	True	False	False	True	False	False	False	True	False	False	True	True	False	False	False
g129	t339																				
g129	t340																				
g129	t341																				
g129	t342	False	True	True	True	True	True	False	False	True	False	False	False	True	False	False	True	True	False	False	False
g129	t343	False	True	True	True	True	True	False	False	True	False	False	False	True	False	False	True	True	False	False	False
g129	t344																				
g129	t345	False	True	True	True	True	True	False	False	True	False	False	False	True	False	False	True	True	False	False	False
g129	t346	False	True	True	True	True	True	False	False	True	False	False	False	True	False	False	True	True	False	False	False
g129	t347	False	True	True	True	True	True	False	False	True	False	False	False	True	False	False	True	True	False	False	False
g13	t348																				
g13	t349	False	True	True	False	False	False	False	True	True	False	True	True	True	False	False	True	False	True	False	False
g13	t350	False	True	True	False	False	False	False	True	True	False	True	True	True	False	False	True	False	True	False	False
g13	t351																				
g130	t352																				
g130	t353	True	False	False	True	True	True	True	False	True	False	True	False	False	False	False	False	False	False	False	True
g130	t354	True	False	False	True	True	True	True	False	True	False	True	False	False	False	False	False	False	False	False	True
g130	t355	True	False	False	True	True	True	True	False	True	False	True	False	False	False	False	False	False	False	False	True
g130	t356																				
g130	t357	True	False	False	True	True	True	True	False	True	False	True	False	False	False	False	False	False	False	False	True
g130	t358	True	False	False	True	True	True	True	False	True	False	True	False	False	False	False	False	False	False	False	True
g130	t359																				
g130	t360	True	False	False	True	True	True	True	False	True	False	True	False	False	False	False	False	False	False	False	True
g130	t361																				
g130	t362																				
g130	t363	True	False	False	True	True	True	True	False	True	False	True	False	False	False	False	False	False	False	False	True
g130	t364	True	False	False	True	True	True	True	False	True	False	True	False	False	False	False	False	False	False	False	True
g131	t365	False	True	False	False	True	False	False	False	False	True	False	False	True	True	True	False	False	False	True	True
g131	t366	False	True	False	False	True	False	False	False	False	True	False	False	True	True	True	False	False	False	True	True
g131	t367																				
g131	t368																				
g131	t369	False	True	False	False	True	False	False	False	False	True	False	False	True	True	True	False	False	False	True	True
g131	t370																				
g131	t371																				
g131	t372																				
g131	t373	False	True	False	False	True	False	False	False	False	True	False	False	True	True	True	False	False	False	True	True
g131	t374	False	True	False	False	True	False	False	False	False	True	False	False	True	True	True	False	False	False	True	True
g131	t375	False	True	False	False	True	False	False	False	False	True	False	False	True	True	True	False	False	False	True	True
g131	t376	False	True	False	False	True	False	False	False	False	True	False	False	True	True	True	False	False	False	True	True
g131	t377	False	True	False	False	True	False	False	False	False	True	False	False	True	True	True	False	False	False	True	True
g131	t378	False	True	False	False	True	False	False	False	False	True	False	False	True	True	True	False	False	False	True	True
g131	t379																				
g131	t380	False	True	False	False	True	False	False	False	False	True	False	False	True	True	True	False	False	False	True	True
g132	t381	False	False	True	False	True	False	True	False	True	True	True	False	True	True	True	False	False	False	False	False
g132	t382	False	False	True	False	True	False	True	False	True	True	True	False	True	True	True	False	False	False	False	False
g132	t383	False	False	True	False	True	False	True	False	True	True	True	False	True	True	True	False	False	False	False	False
g132	t384	False	False	True	False	True	False	True	False	True	True	True	False	True	True	True	False	False	False	False	False
g132	t385																				
g132	t386																				
g132	t387																				
g132	t388																				
g133	t389	False	False	False	False	True	False	False	False	False	False	True	True	False	True	True	True	True	True	False	False
g133	t390	False	False	False	False	True	False	False	False	False	False	True	True	False	True	True	True	True	True	False	False
g133	t391	False	False	False	False	True	False	False	False	False	False	True	True	False	True	True	True	True	True	False	False
g133	t392	False	False	False	False	True	False	False	False	False	False	True	True	False	True	True	True	True	True	False	False
g133	t393																				
g133	t394	False	False	False	False	True	False	False	False	False	False	True	True	False	True	True	True	True	True	False	False
g133	t395																				
g133	t396																				
g133	t397																				
g133	t398	False	False	False	False	True	False	False	False	False	False	True	True	False	True	True	True	True	True	False	False
g134	t399																				
g134	t400																				
g134	t401	True	False	True	True	False	True	False	False	True	False	True	False	False	True	False	False	False	False	False	True
g134	t402	True	False	True	True	False	True	False	False	True	False	True	False	False	True	False	False	False	False	False	True
g134	t403	True	False	True	True	False	True	False	False	True	False	True	False	False	True	False	False	False	False	False	True
g134	t404	True	False	True	True	False	True	False	False	True	False	True	False	False	True	False	False	False	False	False	True
g134	t405																				
g134	t406																				
g134	t407																				
g134	t408	True	False	True	True	False	True	False	False	True	False	True	False	False	True	False	False	False	False	False	True
g134	t409	True	False	True	True	False	True	False	False	True	False	True	False	False	True	False	False	False	False	False	True
g135	t410																				
g135	t411	False	True	False	False	False	False	True	False	True	False	False	False	False	False	True	True	False	True	False	True
g135	t412	False	True	False	False	False	False	True	False	True	False	False	False	False	False	True	True	False	True	False	True
g135	t413	False	True	False	False	False	False	True	False	True	False	False	False	False	False	True	True	False	True	False	True
g135	t414	False	True	False	False	False	False	True	False	True	False	False	False	False	False	True	True	False	True	False	True
g135	t415																				
g135	t416	False	True	False	False	False	False	True	False	True	False	False	False	False	False	True	True	False	True	False	True
g135	t417																				
g136	t418																				
g136	t419	False	False	False	False	False	False	False	True	True	False	True	False	True	True	False	True	True	False	False	False
g136	t420	False	False	False	False	False	False	False	True	True	False	True	False	True	True	False	True	True	False	False	False
g136	t421																				
g136	t422	False	False	False	False	False	False	False	True	True	False	True	False	True	True	False	True	True	False	False	False
g136	t423																				
g137	t424																				
g137	t425																				
g137	t426																				
g137	t427	False	False	False	False	False	False	True	False	False	True	False	False	True	False	False	True	True	True	False	True
g137	t428	False	False	False	False	False	False	True	False	False	True	False	False	True	False	False	True	True	True	False	True
g137	t429																				
g137	t430	False	False	False	False	False	False	True	False	False	True	False	False	True	False	False	True	True	True	False	True
g137	t431	False	False	False	False	False	False	True	False	False	True	False	False	True	False	False	True	True	True	False	True
g137	t432	False	False	False	False	False	False	True	False	False	True	False	False	True	False	False	True	True	True	False	True
g137	t433	False	False	False	False	False	False	True	False	False	True	False	False	True	False	False	True	True	True	False	True
g138	t434																				
g138	t435																				
g138	t436	False	True	False	False	False	False	False	True	True	False	False	True	False	False	False	True	False	True	True	False
g138	t437	False	True	False	False	False	False	False	True	True	False	False	True	False	False	False	True	False	True	True	False
g138	t438																				
g138	t439																				
g138	t440	False	True	False	False	False	False	False	True	True	False	False	True	False	False	False	True	False	True	True	False
g138	t441	False	True	False	False	False	False	False	True	True	False	False	True	False	False	False	True	False	True	True	False
g138	t442	False	True	False	False	False	False	False	True	True	False	False	True	False	False	False	True	False	True	True	False
g138	t443	False	True	False	False	False	False	False	True	True	False	False	True	False	False	False	True	False	True	True	False
g138	t444																				
g138	t445																				
g138	t446	False	True	False	False	False	False	False	True	True	False	False	True	False	False	False	True	False	True	True	False
